Northing,Easting,Elevation(m)
5934462.2,332808.4,619.7
5934441.4,332849.3,619.1
5934413.9,332903.4,617.7
5934385.3,332960.3,616.6
5934363.7,332984.9,616.2
5934338.5,333005.4,615.5
5934318.7,333020.6,615.1
5934313.4,333025.8,615.3
5934307.0,333027.4,615.4
5934313.5,333022.4,615.3
5934318.9,333016.0,615.1
5934340.7,332977.9,615.9
5934367.9,332903.0,616.2
5934394.3,332851.9,616.7
5934414.9,332816.3,617.6
5934436.2,332765.4,618.5
5934482.3,332652.7,618.2
5934485.1,332646.9,618.3
5934507.2,332589.5,618.6
5934517.8,332555.9,618.7
5934536.6,332517.9,618.4
5934545.2,332501.7,618.5
5934566.5,332473.0,618.1
5934582.4,332445.1,617.9
5934598.3,332417.2,617.1
5934614.1,332393.9,617.1
5934628.5,332376.4,617.3
5934641.5,332357.6,617.7
5934656.2,332329.3,617.0
5934672.1,332297.3,616.7
5934694.6,332259.3,617.0
5934713.9,332218.7,617.5
5934735.0,332176.6,617.5
5934761.0,332119.9,617.3
5934770.2,332099.3,616.9
5934793.0,332055.5,616.7
5934811.9,332006.7,617.0
5934821.3,331982.3,616.4
5934831.0,331952.9,616.0
5934831.3,331941.9,616.0
5934822.6,331944.6,616.1
5934802.1,331959.7,616.7
5934757.6,332053.6,615.9
5934731.2,332123.7,616.3
5934696.7,332192.2,616.0
5934670.1,332235.1,615.7
5934639.5,332281.4,615.0
5934612.2,332333.2,615.4
5934594.4,332372.0,615.6
5934576.6,332415.3,616.2
5934556.0,332463.1,617.3
5934544.3,332489.9,618.0
5934529.8,332517.6,618.1
5934517.2,332533.5,618.4
5934492.3,332559.4,617.6
5934469.8,332594.6,616.9
5934456.9,332625.4,617.2
5934442.7,332652.7,617.1
5934431.2,332682.3,617.1
5934415.8,332709.2,616.9
5934401.7,332740.8,616.9
5934400.3,332743.0,616.8
5934387.5,332775.7,616.5
5934376.5,332805.2,616.2
5934365.0,332836.7,616.1
5934349.2,332883.9,616.0
5934335.1,332918.4,616.0
5934322.6,332944.9,616.0
5934314.2,332966.0,616.1
5934306.1,332979.0,615.9
5934296.9,332987.2,616.0
5934292.9,332992.6,616.0
5934287.6,332997.8,616.1
5934275.8,333009.2,616.3
5934264.4,333010.2,616.5
5934258.1,333009.6,616.7
5934262.2,333002.0,616.6
5934265.1,332989.7,616.5
5934271.9,332976.6,616.8
5934292.7,332927.1,616.5
5934302.5,332901.6,616.9
5934325.9,332851.8,616.2
5934340.9,332826.6,616.0
5934349.3,332805.3,616.2
5934362.9,332776.2,615.9
5934371.3,332757.2,616.1
5934374.1,332749.3,616.1
5934385.2,332728.0,616.4
5934396.6,332701.0,616.9
5934407.9,332673.8,617.0
5934423.6,332637.5,616.8
5934425.1,332633.0,616.6
5934443.6,332590.9,616.2
5934455.1,332562.3,616.2
5934469.9,332518.5,616.1
5934487.1,332480.6,616.6
5934500.1,332451.8,616.0
5934513.0,332425.2,616.0
5934524.6,332399.7,615.2
5934541.8,332369.5,615.0
5934560.6,332332.2,615.0
5934583.8,332284.1,615.0
5934586.7,332279.4,615.0
5934611.7,332216.9,615.2
5934629.8,332168.3,616.1
5934631.3,332163.5,616.1
5934642.4,332123.0,616.9
5934653.3,332086.0,617.6
5934654.8,332081.2,617.6
5934673.5,332022.5,618.4
5934687.6,331963.8,619.5
5934687.1,331937.0,620.7
5934691.6,331913.6,620.9
